launch_position,observation_id,phase,attempt_id,requested_output_tokens,api_max_output_tokens,custom_id,seed
33,prod-t01000-k0104,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
34,prod-t00016-k0034,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
35,prod-t00016-k0189,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
36,prod-t00016-k0225,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
37,prod-t00016-k0294,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
38,prod-t01000-k0130,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
39,prod-t00100-k0096,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
40,prod-t00100-k0046,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
41,prod-t00100-k0188,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
42,prod-t00016-k0349,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
43,prod-t01000-k0056,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
44,prod-t00016-k0056,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
45,prod-t00016-k0080,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
46,prod-t10000-k0037,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
47,prod-t03000-k0211,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
48,prod-t03000-k0182,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
49,prod-t00100-k0021,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
50,prod-t00100-k0275,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
51,prod-t00016-k0245,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
52,prod-t00100-k0200,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
53,prod-t10000-k0385,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
54,prod-t03000-k0307,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
55,prod-t00100-k0333,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
56,prod-t03000-k0378,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
57,prod-t10000-k0378,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
58,prod-t10000-k0342,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
59,prod-t10000-k0271,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
60,prod-t03000-k0185,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
61,prod-t00016-k0302,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
62,prod-t10000-k0366,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
63,prod-t10000-k0135,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
64,prod-t00016-k0075,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
65,prod-t00100-k0024,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
66,prod-t00016-k0275,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
67,prod-t00100-k0293,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
68,prod-t10000-k0190,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
69,prod-t03000-k0192,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
70,prod-t01000-k0398,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
71,prod-t03000-k0243,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
72,prod-t01000-k0059,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
73,prod-t00016-k0046,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
74,prod-t00016-k0173,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
75,prod-t10000-k0139,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
76,prod-t00100-k0241,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
77,prod-t00016-k0122,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
78,prod-t03000-k0369,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
79,prod-t00100-k0176,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
80,prod-t00016-k0059,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
81,prod-t00100-k0329,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
82,prod-t01000-k0288,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
83,prod-t00100-k0270,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
84,prod-t00100-k0374,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
85,prod-t00016-k0027,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
86,prod-t10000-k0370,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
87,prod-t00016-k0127,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
88,prod-t00100-k0279,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
89,prod-t00016-k0028,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
90,prod-t00100-k0028,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
91,prod-t01000-k0390,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
92,prod-t03000-k0147,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
93,prod-t00100-k0019,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
94,prod-t00016-k0113,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
95,prod-t03000-k0237,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
96,prod-t00100-k0122,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
97,prod-t03000-k0255,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
98,prod-t00100-k0335,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
99,prod-t01000-k0068,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
100,prod-t00016-k0262,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
101,prod-t03000-k0180,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
102,prod-t03000-k0034,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
103,prod-t00016-k0292,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
104,prod-t10000-k0054,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
105,prod-t01000-k0312,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
106,prod-t03000-k0367,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
107,prod-t01000-k0378,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
108,prod-t03000-k0023,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
109,prod-t00100-k0319,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
110,prod-t10000-k0287,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
111,prod-t03000-k0247,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
112,prod-t10000-k0343,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
113,prod-t00100-k0237,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
114,prod-t00016-k0186,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
115,prod-t00016-k0389,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
116,prod-t01000-k0260,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
117,prod-t10000-k0264,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
118,prod-t10000-k0384,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
119,prod-t10000-k0285,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
120,prod-t01000-k0343,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
121,prod-t01000-k0330,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
122,prod-t00100-k0033,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
123,prod-t03000-k0123,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
124,prod-t01000-k0148,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
125,prod-t01000-k0394,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
126,prod-t03000-k0208,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
127,prod-t00016-k0370,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
128,prod-t01000-k0392,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
129,prod-t00100-k0364,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
130,prod-t03000-k0015,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
131,prod-t03000-k0346,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
132,prod-t00100-k0016,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
133,prod-t00100-k0078,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
134,prod-t10000-k0237,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
135,prod-t03000-k0305,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
136,prod-t10000-k0309,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
137,prod-t10000-k0004,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
138,prod-t00016-k0118,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
139,prod-t00100-k0267,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
140,prod-t03000-k0311,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
141,prod-t01000-k0281,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
142,prod-t00100-k0397,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
143,prod-t10000-k0354,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
144,prod-t00100-k0186,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
145,prod-t00016-k0174,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
146,prod-t01000-k0381,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
147,prod-t10000-k0238,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
148,prod-t00016-k0369,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
149,prod-t03000-k0113,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
150,prod-t00016-k0137,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
151,prod-t00100-k0124,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
152,prod-t00100-k0217,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
153,prod-t03000-k0127,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
154,prod-t00016-k0215,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
155,prod-t00100-k0159,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
156,prod-t01000-k0089,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
157,prod-t10000-k0337,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
158,prod-t01000-k0375,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
159,prod-t10000-k0357,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
160,prod-t01000-k0322,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
161,prod-t00100-k0095,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
162,prod-t00100-k0386,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
163,prod-t00016-k0079,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
164,prod-t03000-k0280,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
165,prod-t00016-k0147,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
166,prod-t00100-k0314,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
167,prod-t10000-k0305,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
168,prod-t01000-k0307,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
169,prod-t00100-k0129,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
170,prod-t00100-k0243,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
171,prod-t00016-k0107,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
172,prod-t01000-k0310,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
173,prod-t01000-k0182,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
174,prod-t10000-k0006,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
175,prod-t10000-k0389,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
176,prod-t00100-k0384,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
177,prod-t00016-k0255,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
178,prod-t00016-k0394,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
179,prod-t10000-k0031,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
180,prod-t10000-k0095,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
181,prod-t03000-k0274,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
182,prod-t00100-k0017,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
183,prod-t01000-k0135,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
184,prod-t01000-k0186,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
185,prod-t10000-k0166,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
186,prod-t01000-k0295,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
187,prod-t03000-k0198,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
188,prod-t10000-k0289,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
189,prod-t03000-k0220,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
190,prod-t00016-k0051,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
191,prod-t01000-k0376,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
192,prod-t00016-k0086,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
193,prod-t00100-k0206,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
194,prod-t03000-k0018,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
195,prod-t10000-k0113,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
196,prod-t01000-k0306,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
197,prod-t03000-k0162,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
198,prod-t00016-k0207,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
199,prod-t03000-k0076,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
200,prod-t10000-k0383,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
201,prod-t01000-k0300,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
202,prod-t00016-k0377,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
203,prod-t03000-k0137,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
204,prod-t03000-k0266,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
205,prod-t00100-k0111,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
206,prod-t00016-k0064,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
207,prod-t10000-k0036,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
208,prod-t00100-k0292,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
209,prod-t03000-k0240,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
210,prod-t00016-k0388,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
211,prod-t00100-k0244,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
212,prod-t10000-k0255,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
213,prod-t00100-k0393,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
214,prod-t00100-k0278,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
215,prod-t03000-k0024,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
216,prod-t01000-k0140,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
217,prod-t10000-k0344,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
218,prod-t00100-k0302,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
219,prod-t03000-k0084,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
220,prod-t10000-k0163,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
221,prod-t00016-k0190,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
222,prod-t00016-k0272,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
223,prod-t00016-k0163,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
224,prod-t00100-k0147,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
225,prod-t03000-k0053,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
226,prod-t03000-k0007,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
227,prod-t00016-k0232,prod,1,16,16,batch-turnaround-gpt-5.6-luna-2026-09-10:t00016,20260910
228,prod-t00100-k0161,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
229,prod-t00100-k0360,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
230,prod-t03000-k0338,prod,1,3000,3000,batch-turnaround-gpt-5.6-luna-2026-09-10:t03000,20260910
231,prod-t10000-k0286,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
232,prod-t00100-k0043,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
233,prod-t01000-k0350,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
234,prod-t10000-k0188,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
235,prod-t01000-k0207,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
236,prod-t00100-k0005,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
237,prod-t00100-k0197,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
238,prod-t00100-k0062,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
239,prod-t10000-k0105,prod,1,10000,10000,batch-turnaround-gpt-5.6-luna-2026-09-10:t10000,20260910
240,prod-t00100-k0179,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
241,prod-t01000-k0018,prod,1,1000,1000,batch-turnaround-gpt-5.6-luna-2026-09-10:t01000,20260910
242,prod-t00100-k0392,prod,1,100,100,batch-turnaround-gpt-5.6-luna-2026-09-10:t00100,20260910
